id,directors,rate,title,casts,year,types,country,lang,time,movieTime,commentLen,star
1,凯恩·帕森斯,6.6,后室,"切瓦特·埃加福,雷娜特·赖因斯夫,芬恩·本尼特,卢基塔·麦克斯韦尔,马克·杜普拉斯",2026,"科幻,恐怖","美国,加拿大","英语,葡萄牙语",2026-06-26,111,47250,"8.4%,31.4%,43.9%,12.8%,3.5%"
2,"安德鲁·斯坦顿,麦肯纳·哈里斯",8.1,玩具总动员5,"汤姆·汉克斯,蒂姆·艾伦,琼·库萨克,格蕾塔·李,基努·里维斯",2026,"剧情,喜剧,动画,奇幻,冒险",美国,英语,2026-06-19,102,82077,"29.8%,45.6%,22.3%,2.0%,0.3%"
3,洪忠灿,8.7,铁拳教育,"金武烈,李星民,秦基周,表志勋,贺营",2026,"剧情,动作",韩国,韩语,2026-06-05,47,132338,"52.3%,35.7%,9.8%,1.3%,1.0%"
4,"周靖韬,林毅",6.6,南部档案,"张新成,丁禹兮,姜珮瑶,富大龙,刘令姿",2026,"剧情,奇幻,冒险",中国大陆,汉语普通话,2026-06-11,85,68371,"19.2%,25.5%,30.5%,16.1%,8.7%"
5,蓝鸿春,9.3,给阿嬷的情书,"李思潼,王彦桐,吴少卿,郑润奇,王晓慧",2026,"剧情,家庭",中国大陆,"潮汕话,汉语普通话,泰语,英语",2026-04-30,118,891338,"69.9%,25.3%,3.9%,0.6%,0.2%"
6,冯小刚,7.4,抓特务,"雷佳音,胡歌,啜妮,张瑶,林晓凡",2026,剧情,中国大陆,汉语普通话,2026-06-19,141,59048,"17.4%,45.3%,30.3%,4.6%,2.4%"
7,袁和平,7.5,镖人：风起大漠,"吴京,谢霆锋,于适,陈丽君,孙艺洲",2026,"动作,武侠,古装",中国大陆,汉语普通话,2026-02-17,126,429848,"20.1%,43.6%,29.1%,5.4%,1.7%"
8,"林玉芬,梁胜权,刘智君",6.3,莫离,"白鹿,丞磊,蔡正杰,杨舒伊,林沐然",2026,"爱情,古装",中国大陆,汉语普通话,2026-06-09,81,103494,"14.1%,22.7%,37.9%,16.8%,8.4%"
9,库里·巴克,7.7,痴迷,"迈克尔·约翰斯顿,印达·纳瓦雷特,库珀·汤姆林森,梅根·劳利斯,安迪·里克特",2025,恐怖,美国,英语,2025-09-05,108,31564,"24.9%,42.6%,26.3%,4.8%,1.5%"
10,谷垣健治,7.9,火遮眼,"谢苗,林科灯,杨恩又,黎唯,雅彦·鲁伊安",2025,"动作,犯罪","中国香港,中国大陆","汉语普通话,英语,菲律宾语,印尼语,中国手语,泰语",2026-06-11,113,116635,"28.2%,44.7%,22.3%,3.8%,1.1%"
11,刘海波,8.2,低智商犯罪,"王骁,田曦薇,王传君,朱云峰,张瑞涵",2026,"剧情,犯罪",中国大陆,汉语普通话,2026-05-04,85,199021,"33.6%,47.3%,15.5%,2.4%,1.2%"
12,克雷格·吉勒斯佩,5.5,超级少女,"米莉·阿尔柯克,伊芙·雷德利,杰森·莫玛,马提亚斯·修奈尔,大卫·科伦斯韦",2026,"动作,科幻,奇幻,冒险",美国,英语,2026-06-26,110,11397,"5.1%,14.6%,40.0%,29.8%,10.5%"
13,郑执,6.5,森中有林,"于和伟,高圆圆,韩庚,张天爱,乔杉",2026,"剧情,爱情,犯罪",中国大陆,汉语普通话,2026-05-23,117,22889,"10.0%,27.0%,43.6%,15.8%,3.7%"
14,西尔弗·特里,8.4,校园之外 第一季,"艾拉·布赖特,贝尔蒙特·卡梅利,米卡·阿卜杜拉,斯蒂芬·卡林,杰伦·托马斯·布鲁克斯",2026,"剧情,爱情,运动",美国,英语,2026-05-13,42,79135,"41.3%,40.8%,15.2%,2.1%,0.6%"
15,明焱,6.3,昨夜将至,"佟大为,王佳佳,马苏,任重,江疏影",2026,犯罪,中国大陆,汉语普通话,2026-06-24,86,10520,"9.4%,25.6%,40.7%,17.2%,7.1%"
16,李少飞,8.1,主角,"张嘉益,刘浩存,秦海璐,窦骁,翟子路",2026,剧情,中国大陆,汉语普通话,2026-05-10,80,127823,"36.6%,41.2%,16.1%,3.5%,2.6%"
17,"许肇任,黄常祚",4.8,炽夏,"包上恩,周柯宇,赵英博,黄奕,柯淳",2026,"剧情,爱情",中国大陆,汉语普通话,2026-06-16,33,16692,"10.8%,12.2%,18.3%,23.4%,35.3%"
18,安东尼·马拉斯,8.2,诺曼底72小时,"安德鲁·斯科特,布兰登·费舍,凯瑞·康顿,克里斯·梅西纳,戴米恩·路易斯",2026,"剧情,历史,战争","英国,法国,美国",英语,2026-06-06,100,49869,"27.6%,54.2%,16.9%,1.1%,0.2%"
19,杨龙,4.9,翘楚,"陈都灵,周翊然,唐晓天,王瑞昌,吴施乐",2026,剧情,中国大陆,汉语普通话,2026-06-02,38,55738,"9.7%,7.8%,22.9%,36.7%,22.9%"
20,凯尔·巴尔达,7.5,绵羊侦探团,"休·杰克曼,尼可拉斯·博朗,尼古拉斯·加利齐纳,莫莉·戈登,茱莉亚·路易斯-德瑞弗斯",2026,"喜剧,动作,悬疑","爱尔兰,英国,德国,美国",英语,2026-05-16,110,37735,"17.5%,44.2%,35.2%,2.9%,0.2%"
21,严艺之,5.6,我看见两朵一样的云,"王源,文淇,温茉言,闫楠,张颂文",2026,"爱情,科幻",中国大陆,汉语普通话,2026-06-19,104,49533,"13.8%,12.2%,32.7%,23.7%,17.6%"
22,杨荔钠,8.1,我，许可,"文淇,秦海璐,白客,李雪琴,牛莉",2026,"剧情,喜剧",中国大陆,汉语普通话,2026-04-03,118,291613,"37.0%,38.7%,19.1%,3.8%,1.4%"
23,弗兰克·德拉邦特,9.7,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉·赛德勒,克兰西·布朗",1994,"剧情,犯罪",美国,英语,1994-09-10,142,3300156,"85.5%,12.9%,1.3%,0.1%,0.1%"
24,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",9.3,疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯",2016,"喜剧,动画,冒险",美国,"英语,挪威语",2016-03-04,109,2333723,"67.6%,27.9%,4.2%,0.2%,0.1%"
25,严艺文,7.7,欠你的那场婚礼,"张孝全,苏慧伦,朱轩洋,蒲禾菲,姚淳耀",2026,"喜剧,爱情",中国台湾,汉语普通话,2026-06-20,71,6551,"26.6%,41.6%,25.5%,4.4%,1.9%"
26,宫崎骏,9.4,千与千寻,"柊瑠美,入野自由,夏木真理,菅原文太,中村彰男",2001,"剧情,动画,奇幻",日本,日语,2019-06-21,125,2549422,"73.6%,22.8%,3.3%,0.2%,0.1%"
27,"李·昂克里奇,阿德里安·莫利纳",9.1,寻梦环游记,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托",2017,"喜剧,动画,音乐,奇幻",美国,"英语,西班牙语",2017-11-24,105,2003061,"62.9%,29.9%,6.7%,0.4%,0.2%"
28,"菲尔·罗德,克里斯托弗·米勒",8.6,挽救计划,"瑞恩·高斯林,桑德拉·惠勒,詹姆斯·奥尔蒂斯,莱昂内尔·博伊斯,梁振邦",2026,"剧情,科幻,惊悚",美国,英语,2026-03-20,156,482222,"45.6%,40.1%,12.4%,1.5%,0.4%"
29,詹姆斯·卡梅隆,9.5,泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温斯莱特,比利·赞恩,凯西·贝茨,弗兰西丝·费舍",1997,"剧情,爱情,灾难",美国,"英语,意大利语,德语,俄语",1998-04-03,194,2511147,"76.9%,19.9%,2.9%,0.2%,0.1%"
30,刘洪源,7.0,雨霖铃,"杨洋,章若楠,方逸伦,张予曦,岳旸",2026,"剧情,武侠,古装",中国大陆,汉语普通话,2026-05-13,42,93191,"21.4%,29.2%,33.2%,11.7%,4.6%"
31,彼得·威尔,9.4,楚门的世界,"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",1998,"剧情,科幻",美国,英语,1998-06-05,103,2030974,"72.6%,23.8%,3.3%,0.2%,0.1%"
32,尹佳恩,9.0,世界的主人,"徐粹彬,张慧珍,金郑植,姜彩允,李宰锡",2025,剧情,韩国,韩语,2025-09-07,119,136227,"61.6%,30.3%,6.8%,0.8%,0.4%"
33,"杰拉德·布什,拜伦·霍华德",8.3,疯狂动物城2,"金妮弗·古德温,杰森·贝特曼,关继威,福琼·费姆斯特,安迪·萨姆伯格",2025,"喜剧,动画,悬疑,犯罪,冒险",美国,英语,2025-11-26,108,798241,"35.3%,45.0%,18.1%,1.4%,0.2%"
34,史蒂文·斯皮尔伯格,6.5,揭秘日,"艾米莉·布朗特,乔什·奥康纳,科林·费尔斯,伊芙·休森,科尔曼·多明戈",2026,"剧情,科幻,惊悚","美国,加拿大,新西兰,日本",英语,2026-06-12,146,43005,"11.9%,27.9%,38.7%,16.3%,5.2%"
35,克里斯托弗·诺兰,9.4,星际穿越,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,麦肯吉·弗依,卡西·阿弗莱克",2014,"剧情,科幻,冒险","美国,英国,加拿大",英语,2014-11-12,169,2197786,"76.1%,19.8%,3.6%,0.3%,0.2%"
36,黎志,7.6,问心2,"赵又廷,毛晓彤,金世佳,张佳宁,陈冲",2026,剧情,中国大陆,汉语普通话,2026-06-18,71,9199,"32.1%,31.0%,25.5%,8.4%,3.0%"
